sec_code,company_name,market,as_of
2836,グローバルＸ　フィンテック－日本株式　ＥＴＦ,ETF・ETN,20260909
2837,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ,ETF・ETN,20260909
2838,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）,ETF・ETN,20260909
2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）,ETF・ETN,20260909
283A,グローバルＸ　ＵＳ　テック・配当貴族　ＥＴＦ,ETF・ETN,20260909
2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）,ETF・ETN,20260909
2841,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）,ETF・ETN,20260909
2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,ETF・ETN,20260909
2843,上場インデックスファンド豪州国債（為替ヘッジあり）,ETF・ETN,20260909
2844,上場インデックスファンド豪州国債（為替ヘッジなし）,ETF・ETN,20260909
2845,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信,ETF・ETN,20260909
2846,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信,ETF・ETN,20260909
2847,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ,ETF・ETN,20260909
2848,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ,ETF・ETN,20260909
2849,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ,ETF・ETN,20260909
284A,フクヤ建設,PRO Market,20260909
2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ,ETF・ETN,20260909
2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ,ETF・ETN,20260909
2853,ｉシェアーズ　気候リスク調整世界国債　ＥＴＦ（除く日本・為替ヘッジあり）,ETF・ETN,20260909
2854,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ,ETF・ETN,20260909
2855,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ,ETF・ETN,20260909
2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,20260909
2857,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,20260909
2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）,ETF・ETN,20260909
2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信,ETF・ETN,20260909
285A,キオクシアホールディングス,プライム（内国株式）,20260909
2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,ETF・ETN,20260909
2861,上場インデックスファンドフランス国債（為替ヘッジなし）,ETF・ETN,20260909
2862,上場インデックスファンドフランス国債（為替ヘッジあり）,ETF・ETN,20260909
2864,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ,ETF・ETN,20260909
2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ,ETF・ETN,20260909
2866,グローバルＸ　米国優先証券　ＥＴＦ,ETF・ETN,20260909
2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ,ETF・ETN,20260909
2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ,ETF・ETN,20260909
2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ,ETF・ETN,20260909
286A,ユカリア,グロース（内国株式）,20260909
2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース,ETF・ETN,20260909
2871,ニチレイ,プライム（内国株式）,20260909
2872,セイヒョー,スタンダード（内国株式）,20260909
2874,横浜冷凍,プライム（内国株式）,20260909
2875,東洋水産,プライム（内国株式）,20260909
2876,デルソーレ,スタンダード（内国株式）,20260909
2877,日東ベスト,スタンダード（内国株式）,20260909
287A,黒田グループ,スタンダード（内国株式）,20260909
2882,イートアンドホールディングス,プライム（内国株式）,20260909
2883,大冷,スタンダード（内国株式）,20260909
2884,ヨシムラ・フード・ホールディングス,プライム（内国株式）,20260909
288A,ラクサス・テクノロジーズ,グロース（内国株式）,20260909
2892,日本食品化工,スタンダード（内国株式）,20260909
2894,石井食品,スタンダード（内国株式）,20260909
2897,日清食品ホールディングス,プライム（内国株式）,20260909
2901,ウェルディッシュ,スタンダード（内国株式）,20260909
2903,シノブフーズ,スタンダード（内国株式）,20260909
2904,一正蒲鉾,スタンダード（内国株式）,20260909
2907,あじかん,スタンダード（内国株式）,20260909
2908,フジッコ,プライム（内国株式）,20260909
290A,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース（内国株式）,20260909
2910,ロック・フィールド,プライム（内国株式）,20260909
2911,旭松食品,スタンダード（内国株式）,20260909
2914,日本たばこ産業,プライム（内国株式）,20260909
2915,ケンコーマヨネーズ,プライム（内国株式）,20260909
2916,仙波糖化工業,スタンダード（内国株式）,20260909
2917,大森屋,スタンダード（内国株式）,20260909
2918,わらべや日洋ホールディングス,プライム（内国株式）,20260909
291A,リスキル,グロース（内国株式）,20260909
2922,なとり,プライム（内国株式）,20260909
2923,サトウ食品,スタンダード（内国株式）,20260909
2924,イフジ産業,スタンダード（内国株式）,20260909
2926,篠崎屋,スタンダード（内国株式）,20260909
2927,ＡＦＣ－ＨＤアムスライフサイエンス,スタンダード（内国株式）,20260909
2929,ファーマフーズ,プライム（内国株式）,20260909
292A,エスアイイー,PRO Market,20260909
2930,北の達人コーポレーション,プライム（内国株式）,20260909
2931,ユーグレナ,プライム（内国株式）,20260909
2932,ＳＴＩフードホールディングス,スタンダード（内国株式）,20260909
2933,紀文食品,プライム（内国株式）,20260909
2934,ジェイフロンティア,グロース（内国株式）,20260909
2935,ピックルスホールディングス,プライム（内国株式）,20260909
2936,ベースフード,グロース（内国株式）,20260909
2937,サンクゼール,グロース（内国株式）,20260909
2938,オカムラ食品工業,スタンダード（内国株式）,20260909
293A,ＢＡＢＹ　ＪＯＢ,PRO Market,20260909
294A,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパン気候変動指数（セレクト）連動型上場投信,ETF・ETN,20260909
295A,Ｏｎｅ　ＥＴＦ　ＦＴＳＥ・サウジアラビア・インデックス,ETF・ETN,20260909
2961,日本調理機,スタンダード（内国株式）,20260909
2962,テクニスコ,スタンダード（内国株式）,20260909
296A,令和アカウンティング・ホールディングス,グロース（内国株式）,20260909
2970,ＧＬＣ　ＧＲＯＵＰ,スタンダード（内国株式）,20260909
2971,エスコンジャパンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
2972,サンケイリアルエステート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
2975,スター・マイカ・ホールディングス,プライム（内国株式）,20260909
2978,ツクルバ,グロース（内国株式）,20260909
2979,ＳＯＳｉＬＡ物流リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
297A,アルピコホールディングス,スタンダード（内国株式）,20260909
2980,ＳＲＥホールディングス,プライム（内国株式）,20260909
2981,ランディックス,グロース（内国株式）,20260909
2982,ＡＤワークスグループ,プライム（内国株式）,20260909
2983,アールプランナー,グロース（内国株式）,20260909
2984,ヤマイチエステート,スタンダード（内国株式）,20260909
2985,ファーストステージ,PRO Market,20260909
2986,ＬＡホールディングス,グロース（内国株式）,20260909
2989,東海道リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
298A,ＧＶＡ　ＴＥＣＨ,グロース（内国株式）,20260909
2990,アイダ設計,PRO Market,20260909
2991,ランドネット,スタンダード（内国株式）,20260909
2992,アーバンライク,PRO Market,20260909
2993,長栄,スタンダード（内国株式）,20260909
2994,アンサーホールディングス,PRO Market,20260909
2995,ジェイレックス・コーポレーション,PRO Market,20260909
2997,ストレージ王,グロース（内国株式）,20260909
2998,クリアル,グロース（内国株式）,20260909
2999,ホームポジション,スタンダード（内国株式）,20260909
299A,クラシル,グロース（内国株式）,20260909
3001,片倉工業,スタンダード（内国株式）,20260909
3002,グンゼ,プライム（内国株式）,20260909
3003,ヒューリック,プライム（内国株式）,20260909
3004,神栄,スタンダード（内国株式）,20260909
300A,ＭＩＣ,スタンダード（内国株式）,20260909
3010,ポラリス・ホールディングス,スタンダード（内国株式）,20260909
3011,バナーズ,スタンダード（内国株式）,20260909
301A,インデックス,PRO Market,20260909
3020,アプライド,スタンダード（内国株式）,20260909
3021,パシフィックネット,スタンダード（内国株式）,20260909
3023,ラサ商事,スタンダード（内国株式）,20260909
3024,クリエイト,スタンダード（内国株式）,20260909
3028,アルペン,プライム（内国株式）,20260909
302A,ビースタイルホールディングス,グロース（内国株式）,20260909
3030,ハブ,スタンダード（内国株式）,20260909
3031,ラクーンホールディングス,プライム（内国株式）,20260909
3034,クオールホールディングス,プライム（内国株式）,20260909
3035,ケイティケイ,スタンダード（内国株式）,20260909
3036,アルコニックス,プライム（内国株式）,20260909
3038,神戸物産,プライム（内国株式）,20260909
303A,ｖｉｓｕｍｏ,グロース（内国株式）,20260909
3040,ソリトンシステムズ,プライム（内国株式）,20260909
3041,ビューティカダンホールディングス,スタンダード（内国株式）,20260909
3042,セキュアヴェイル,スタンダード（内国株式）,20260909
3045,カワサキ,スタンダード（内国株式）,20260909
3046,ジンズホールディングス,プライム（内国株式）,20260909
3048,ビックカメラ,プライム（内国株式）,20260909
304A,フォルシア,グロース（内国株式）,20260909
3050,ＤＣＭホールディングス,プライム（内国株式）,20260909
3053,ペッパーフードサービス,スタンダード（内国株式）,20260909
3054,ハイパー,スタンダード（内国株式）,20260909
3058,三洋堂ホールディングス,スタンダード（内国株式）,20260909
3059,ヒラキ,スタンダード（内国株式）,20260909
305A,ダブルツリー,PRO Market,20260909
3063,ジェイグループホールディングス,グロース（内国株式）,20260909
3064,ＭｏｎｏｔａＲＯ,プライム（内国株式）,20260909
3065,ライフフーズ,スタンダード（内国株式）,20260909
3067,東京一番フーズ,スタンダード（内国株式）,20260909
3068,ＷＤＩ,スタンダード（内国株式）,20260909
3069,ＪＦＬＡホールディングス,スタンダード（内国株式）,20260909
3070,ジェリービーンズグループ,グロース（内国株式）,20260909
3071,ストリーム,スタンダード（内国株式）,20260909
3075,銚子丸,スタンダード（内国株式）,20260909
3076,あい　ホールディングス,プライム（内国株式）,20260909
3077,ホリイフードサービス,スタンダード（内国株式）,20260909
307A,ハウジング・スタッフ,PRO Market,20260909
3080,ジェーソン,スタンダード（内国株式）,20260909
3082,きちりホールディングス,スタンダード（内国株式）,20260909
3083,スターシーズ,スタンダード（内国株式）,20260909
3086,Ｊ．フロント　リテイリング,プライム（内国株式）,20260909
3087,ドトール・日レスホールディングス,プライム（内国株式）,20260909
3088,マツキヨココカラ＆カンパニー,プライム（内国株式）,20260909
3089,テクノアルファ,スタンダード（内国株式）,20260909
308A,ぽすとめいとホールディングス,PRO Market,20260909
3091,ブロンコビリー,プライム（内国株式）,20260909
3092,ＺＯＺＯ,プライム（内国株式）,20260909
3093,トレジャー・ファクトリー,プライム（内国株式）,20260909
3096,オーシャンシステム,スタンダード（内国株式）,20260909
3097,物語コーポレーション,プライム（内国株式）,20260909
3099,三越伊勢丹ホールディングス,プライム（内国株式）,20260909
309A,コスモス調剤,PRO Market,20260909
3101,東洋紡,プライム（内国株式）,20260909
3103,ユニチカ,スタンダード（内国株式）,20260909
3104,富士紡ホールディングス,プライム（内国株式）,20260909
3105,日清紡ホールディングス,プライム（内国株式）,20260909
3106,倉敷紡績,プライム（内国株式）,20260909
3107,ダイワボウホールディングス,プライム（内国株式）,20260909
3109,シキボウ,プライム（内国株式）,20260909
310A,サーティーフォー,PRO Market,20260909
3110,日東紡績,プライム（内国株式）,20260909
3111,オーミケンシ,スタンダード（内国株式）,20260909
3113,ＵＮＩＶＡ・Ｏａｋホールディングス,スタンダード（内国株式）,20260909
3116,トヨタ紡織,プライム（内国株式）,20260909
3121,マーチャント・バンカーズ,スタンダード（内国株式）,20260909
3123,サイボー,スタンダード（内国株式）,20260909
312A,シンコーホールディングス,PRO Market,20260909
3131,シンデン・ハイテックス,スタンダード（内国株式）,20260909
3132,マクニカホールディングス,プライム（内国株式）,20260909
3133,海帆,グロース（内国株式）,20260909
3134,Ｈａｍｅｅ,スタンダード（内国株式）,20260909
3135,マーケットエンタープライズ,スタンダード（内国株式）,20260909
3137,ファンデリー,スタンダード（内国株式）,20260909
3138,富士山マガジンサービス,スタンダード（内国株式）,20260909
3139,ラクト・ジャパン,プライム（内国株式）,20260909
313A,ｉシェアーズ　Ｓ＆Ｐ　５００　トップ　２０　ＥＴＦ,ETF・ETN,20260909
3140,ＢＲＵＮＯ,グロース（内国株式）,20260909
3143,オーウイル,スタンダード（内国株式）,20260909
3148,クリエイトＳＤホールディングス,プライム（内国株式）,20260909
314A,ｉシェアーズ　ゴールド　ＥＴＦ,ETF・ETN,20260909
3150,グリムス,プライム（内国株式）,20260909
3151,バイタルケーエスケー・ホールディングス,プライム（内国株式）,20260909
3153,八洲電機,プライム（内国株式）,20260909
3154,メディアスホールディングス,プライム（内国株式）,20260909
3156,レスター,プライム（内国株式）,20260909
3157,ジオリーブグループ,スタンダード（内国株式）,20260909
3159,丸善ＣＨＩホールディングス,スタンダード（内国株式）,20260909
315A,グローバルＸ　銀行　高配当－日本株式　ＥＴＦ,ETF・ETN,20260909
3160,大光,スタンダード（内国株式）,20260909
3161,アゼアス,スタンダード（内国株式）,20260909
3166,ＯＣＨＩホールディングス,スタンダード（内国株式）,20260909
3167,ＴＯＫＡＩホールディングス,プライム（内国株式）,20260909
3168,ＭＥＲＦ,スタンダード（内国株式）,20260909
3169,ミサワ,スタンダード（内国株式）,20260909
316A,ｉＦｒｅｅＥＴＦ　ＦＡＮＧ＋,ETF・ETN,20260909
3172,ティーライフ,スタンダード（内国株式）,20260909
3173,Ｃｏｍｉｎｉｘ,スタンダード（内国株式）,20260909
3174,ハピネス・アンド・ディ,スタンダード（内国株式）,20260909
3175,エー・ピーホールディングス,スタンダード（内国株式）,20260909
3176,三洋貿易,プライム（内国株式）,20260909
3177,ありがとうサービス,スタンダード（内国株式）,20260909
3178,チムニー,スタンダード（内国株式）,20260909
3179,シュッピン,プライム（内国株式）,20260909
317A,エス・エム・エス・データテック,PRO Market,20260909
3180,ビューティガレージ,プライム（内国株式）,20260909
3181,買取王国,スタンダード（内国株式）,20260909
3182,オイシックス,プライム（内国株式）,20260909
3183,ウイン・パートナーズ,プライム（内国株式）,20260909
3184,ＩＣＤＡホールディングス,スタンダード（内国株式）,20260909
3185,夢展望,グロース（内国株式）,20260909
3186,ネクステージ,プライム（内国株式）,20260909
3187,ミラタップ,グロース（内国株式）,20260909
3189,ＡＮＡＰホールディングス,スタンダード（内国株式）,20260909
318A,ＶＩＸ短期先物指数ＥＴＦ,ETF・ETN,20260909
3190,ホットマン,スタンダード（内国株式）,20260909
3191,ジョイフル本田,プライム（内国株式）,20260909
3192,白鳩,スタンダード（内国株式）,20260909
3193,エターナルホスピタリティグループ,プライム（内国株式）,20260909
3195,ジェネレーションパス,スタンダード（内国株式）,20260909
3196,ホットランドホールディングス,プライム（内国株式）,20260909
3197,すかいらーくホールディングス,プライム（内国株式）,20260909
3199,綿半ホールディングス,プライム（内国株式）,20260909
319A,技術承継機構,グロース（内国株式）,20260909
3201,日本毛織,プライム（内国株式）,20260909
3202,ダイトウボウ,スタンダード（内国株式）,20260909
3204,トーア紡コーポレーション,スタンダード（内国株式）,20260909
3205,ダイドーリミテッド,スタンダード（内国株式）,20260909
320A,Ｄ＆Ｉ,PRO Market,20260909
321A,ヒューマンステージホールディングス,PRO Market,20260909
3221,ヨシックスホールディングス,プライム（内国株式）,20260909
3222,ユナイテッド・スーパーマーケット・ホールディングス,スタンダード（内国株式）,20260909
3223,エスエルディー,スタンダード（内国株式）,20260909
3224,ゼネラル・オイスター,グロース（内国株式）,20260909
3226,三井不動産アコモデーションファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
322A,ヒメジ理化,PRO Market,20260909
3231,野村不動産ホールディングス,プライム（内国株式）,20260909
3232,三重交通グループホールディングス,プライム（内国株式）,20260909
3234,森ヒルズリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3236,プロパスト,スタンダード（内国株式）,20260909
3237,イントランス,グロース（内国株式）,20260909
3238,セントラル総合開発,スタンダード（内国株式）,20260909
323A,フライヤー,グロース（内国株式）,20260909
3241,ウィル,スタンダード（内国株式）,20260909
3242,アーバネットコーポレーション,スタンダード（内国株式）,20260909
3245,ディア・ライフ,プライム（内国株式）,20260909
3246,コーセーアールイー,スタンダード（内国株式）,20260909
3248,アールエイジ,スタンダード（内国株式）,20260909
3249,産業ファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
324A,ブッキングリゾート,グロース（内国株式）,20260909
3252,地主,プライム（内国株式）,20260909
325A,ＴＥＮＴＩＡＬ,グロース（内国株式）,20260909
3261,グランディーズ,グロース（内国株式）,20260909
3266,ファンドクリエーショングループ,スタンダード（内国株式）,20260909
3267,フィル・カンパニー,スタンダード（内国株式）,20260909
3269,アドバンス・レジデンス投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
326A,ａｅｒｏ　ｌａｂ　ｉｎｔｅｒｎａｔｉｏｎａｌ,PRO Market,20260909
3276,ＪＰＭＣ,プライム（内国株式）,20260909
3277,サンセイランディック,スタンダード（内国株式）,20260909
3279,アクティビア・プロパティーズ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3280,エストラスト,スタンダード（内国株式）,20260909
3281,ＧＬＰ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3282,コンフォリア・レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3283,日本プロロジスリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3284,フージャースホールディングス,プライム（内国株式）,20260909
3286,トラストホールディングス,スタンダード（内国株式）,20260909
3287,星野リゾート・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3288,オープンハウスグループ,プライム（内国株式）,20260909
3289,東急不動産ホールディングス,プライム（内国株式）,20260909
328A,グローバルＸ　プライシングパワー・リーダーズ－日本株式　ＥＴＦ,ETF・ETN,20260909
3290,Ｏｎｅリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3291,飯田グループホールディングス,プライム（内国株式）,20260909
3292,イオンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3293,アズマハウス,スタンダード（内国株式）,20260909
3295,ヒューリックリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3296,日本リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3297,東武住販,スタンダード（内国株式）,20260909
3299,ムゲンエステート,スタンダード（内国株式）,20260909
329A,ジールアソシエイツ,PRO Market,20260909
3300,アンビション　ＤＸ　ホールディングス,グロース（内国株式）,20260909
3302,帝国繊維,プライム（内国株式）,20260909
3306,日本製麻,スタンダード（内国株式）,20260909
3309,積水ハウス・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
330A,ＴａｌｅｎｔＸ,グロース（内国株式）,20260909
3315,日本コークス工業,プライム（内国株式）,20260909
3317,フライングガーデン,スタンダード（内国株式）,20260909
331A,メディックス,スタンダード（内国株式）,20260909
3320,クロスプラス,スタンダード（内国株式）,20260909
3321,ミタチ産業,スタンダード（内国株式）,20260909
3323,レカム,スタンダード（内国株式）,20260909
3326,ランシステム,スタンダード（内国株式）,20260909
3329,東和フードサービス,スタンダード（内国株式）,20260909
332A,ミーク,グロース（内国株式）,20260909
3333,あさひ,プライム（内国株式）,20260909
333A,テクノスマイル,PRO Market,20260909
3349,コスモス薬品,プライム（内国株式）,20260909
334A,ビジュアル・プロセッシング・ジャパン,グロース（内国株式）,20260909
3350,メタプラネット,スタンダード（内国株式）,20260909
3352,バッファロー,スタンダード（内国株式）,20260909
3353,メディカル一光グループ,スタンダード（内国株式）,20260909
3355,クリヤマホールディングス,スタンダード（内国株式）,20260909
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,20260909
3359,ｃｏｔｔａ,グロース（内国株式）,20260909
335A,ミライロ,グロース（内国株式）,20260909
3360,シップヘルスケアホールディングス,プライム（内国株式）,20260909
3361,トーエル,スタンダード（内国株式）,20260909
336A,ダイナミックマッププラットフォーム,グロース（内国株式）,20260909
3370,フジタコーポレーション,スタンダード（内国株式）,20260909
3371,ソフトクリエイトホールディングス,プライム（内国株式）,20260909
3372,関門海,スタンダード（内国株式）,20260909
3374,内外テック,スタンダード（内国株式）,20260909
3375,ＺＯＡ,スタンダード（内国株式）,20260909
3377,バイク王＆カンパニー,スタンダード（内国株式）,20260909
3382,セブン＆アイ・ホールディングス,プライム（内国株式）,20260909
3386,コスモ・バイオ,スタンダード（内国株式）,20260909
3387,クリエイト・レストランツ・ホールディングス,プライム（内国株式）,20260909
3388,明治電機工業,プライム（内国株式）,20260909
338A,ＺｅｎｍｕＴｅｃｈ,グロース（内国株式）,20260909
3391,ツルハホールディングス,プライム（内国株式）,20260909
3392,デリカフーズホールディングス,スタンダード（内国株式）,20260909
3393,スターティアホールディングス,プライム（内国株式）,20260909
3395,サンマルクホールディングス,プライム（内国株式）,20260909
3396,フェリシモ,スタンダード（内国株式）,20260909
3397,トリドールホールディングス,プライム（内国株式）,20260909
3399,丸千代山岡家,スタンダード（内国株式）,20260909
339A,プログレス・テクノロジーズ　グループ,グロース（内国株式）,20260909
3401,帝人,プライム（内国株式）,20260909
3402,東レ,プライム（内国株式）,20260909
3405,クラレ,プライム（内国株式）,20260909
3407,旭化成,プライム（内国株式）,20260909
3409,北紡,スタンダード（内国株式）,20260909
340A,ジグザグ,グロース（内国株式）,20260909
3415,ＴＯＫＹＯ　ＢＡＳＥ,プライム（内国株式）,20260909
3416,ピクスタ,スタンダード（内国株式）,20260909
3417,大木ヘルスケアホールディングス,スタンダード（内国株式）,20260909
3418,バルニバービ,グロース（内国株式）,20260909
341A,トヨコー,グロース（内国株式）,20260909
3420,ケー・エフ・シー,スタンダード（内国株式）,20260909
3421,稲葉製作所,スタンダード（内国株式）,20260909
3422,Ｊ－ＭＡＸ,スタンダード（内国株式）,20260909
3423,エスイー,スタンダード（内国株式）,20260909
3426,アトムリビンテック,スタンダード（内国株式）,20260909
3431,宮地エンジニアリンググループ,プライム（内国株式）,20260909
3433,トーカロ,プライム（内国株式）,20260909
3434,アルファＣｏ,スタンダード（内国株式）,20260909
3435,サンコーテクノ,スタンダード（内国株式）,20260909
3436,ＳＵＭＣＯ,プライム（内国株式）,20260909
3437,特殊電極,スタンダード（内国株式）,20260909
3439,三ツ知,スタンダード（内国株式）,20260909
343A,ＩＡＣＥトラベル,スタンダード（内国株式）,20260909
3440,日創グループ,スタンダード（内国株式）,20260909
3441,山王,スタンダード（内国株式）,20260909
3443,川田テクノロジーズ,プライム（内国株式）,20260909
3444,菊池製作所,スタンダード（内国株式）,20260909
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,プライム（内国株式）,20260909
3446,ジェイテックコーポレーション,スタンダード（内国株式）,20260909
3447,信和,スタンダード（内国株式）,20260909
3448,清鋼材,PRO Market,20260909
3449,テクノフレックス,スタンダード（内国株式）,20260909
3451,トーセイ・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3452,ビーロット,スタンダード（内国株式）,20260909
3454,ファーストブラザーズ,スタンダード（内国株式）,20260909
3455,ヘルスケア＆メディカル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3457,Ａｎｄ　Ｄｏホールディングス,プライム（内国株式）,20260909
3459,サムティ・レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
345A,高配当成長　日本株（ネットリターン）ＥＴＮ,ETF・ETN,20260909
3461,パルマ,スタンダード（内国株式）,20260909
3462,野村不動産マスターファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3463,いちごホテルリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3465,ケイアイスター不動産,プライム（内国株式）,20260909
3466,ラサールロジポート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3467,アグレ都市デザイン,スタンダード（内国株式）,20260909
3468,スターアジア不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3469,デュアルタップ,スタンダード（内国株式）,20260909
346A,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　半導体・半導体製造装置３５％キャップ指数連動型上場投信,ETF・ETN,20260909
3470,マリモ地方創生リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3471,三井不動産ロジスティクスパーク投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3472,日本ホテル＆レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3474,Ｇ－ＦＡＣＴＯＲＹ,グロース（内国株式）,20260909
3475,グッドコムアセット,プライム（内国株式）,20260909
3476,投資法人みらい,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3477,フォーライフ,グロース（内国株式）,20260909
3479,ＴＫＰ,グロース（内国株式）,20260909
347A,ＧＲＯＷＴＨ　ＰＯＷＥＲ,PRO Market,20260909
3480,ジェイ・エス・ビー,プライム（内国株式）,20260909
3481,三菱地所物流リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3482,ロードスターキャピタル,プライム（内国株式）,20260909
3483,翔栄,PRO Market,20260909
3484,イノベーションホールディングス,スタンダード（内国株式）,20260909
3486,グローバル・リンク・マネジメント,プライム（内国株式）,20260909
3487,ＣＲＥロジスティクスファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3488,セントラル・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3489,フェイスネットワーク,スタンダード（内国株式）,20260909
348A,ＭＡＸＩＳ読売３３３日本株上場投信,ETF・ETN,20260909
3490,アズ企画設計,スタンダード（内国株式）,20260909
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,グロース（内国株式）,20260909
3492,ＭＩＲＡＲＴＨ不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド,20260909
3494,マリオン,スタンダード（内国株式）,20260909
3495,香陵住販,スタンダード（内国株式）,20260909
3496,アズーム,プライム（内国株式）,20260909
3498,霞ヶ関キャピタル,プライム（内国株式）,20260909
349A,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本グロース株式,ETF・ETN,20260909
3501,ＳＵＭＩＮＯＥ,プライム（内国株式）,20260909
350A,デジタルグリッド,グロース（内国株式）,20260909
3512,日本フエルト,スタンダード（内国株式）,20260909
3513,イチカワ,スタンダード（内国株式）,20260909
351A,アクシスＩＴパートナーズ,PRO Market,20260909
3521,テルマー湯ホールディングス,スタンダード（内国株式）,20260909
3524,日東製網,スタンダード（内国株式）,20260909
3529,アツギ,スタンダード（内国株式）,20260909
352A,ＬＯＩＶＥ,グロース（内国株式）,20260909
3536,アクサスホールディングス,スタンダード（内国株式）,20260909
3537,昭栄薬品,スタンダード（内国株式）,20260909
